sample,nocut, el selection, loose mu veto, dilep veto, jets selection, b-tagging, MET 
singletop,2261635,122910,118622,117720,7853,2349,2349,0,0,0,0,
wjets,191152153,18994573,18993288,18991593,69540,1094,1094,0,0,0,0,
zjets,18945146,2703021,2695064,1982829,13672,306,306,0,0,0,0,
ttbar,4856033,462759,420448,411370,145891,57693,57693,0,0,0,0,
MC,217214967,22283263,22227422,21503512,236956,61442,61442,0,0,0,0,
data,271287381,65064741,64988421,63129572,257706,56622,56622,0,0,0,0,
