sample,nocut, el selection, loose mu veto, dilep veto, jets selection, b-tagging, MET 
singletop,101694,5526,5333,5294,380,108,108,0,0,0,0,
wjets,8595457,854088,854031,853953,2981,46,46,0,0,0,0,
zjets,851898,121543,121187,89159,579,12,12,0,0,0,0,
ttbar,218359,20808,18906,18497,6395,2542,2542,0,0,0,0,
MC,9767408,1001965,999457,966903,10335,2708,2708,0,0,0,0,
data,11212832,2965660,2962143,2878460,10400,2395,2395,0,0,0,0,
