sample,nocut, HLT,  el selection, loose mu veto, dilep veto, jets selection, b-tagging 
singletop,2261409,124752,120162,119197,8835,2736,0,0,
wjets,191023207,19004176,19002956,19001452,68272,1067,0,0,
zjets,18922121,2699243,2691508,1982416,13280,311,0,0,
ttbar,4830077,460285,418201,409171,145111,57384,0,0,
MC,217036814,22288456,22232827,21512236,235498,61498,0,0,
data,271287381,203805990,64519058,64445207,62600083,236731,53719,0,
